text,category,sub_category,department,priority_level
"Park çevresindeki atıklar toplanmamış.","Temizlik","Atık toplama","Temizlik İşleri Müdürlüğü","Orta"
"Apartman önünde çöp poşetleri birikmiş.","Temizlik","Çöp birikmesi","Temizlik İşleri Müdürlüğü","Orta"
"Sahil yürüyüş yolunda temizlik eksikliği var.","Temizlik","Sokak temizliği","Temizlik İşleri Müdürlüğü","Düşük"
"Konteyner çok eski ve kötü koku yayıyor.","Temizlik","Çöp konteyneri","Temizlik İşleri Müdürlüğü","Orta"
"Boş arsaya atık bırakılmış.","Temizlik","Atık toplama","Temizlik İşleri Müdürlüğü","Orta"
"Sokakta yaprak ve çöp birikintisi var.","Temizlik","Sokak temizliği","Temizlik İşleri Müdürlüğü","Düşük"
"Çöp konteyneri yetersiz kaldığı için çevre kirleniyor.","Temizlik","Çöp konteyneri","Temizlik İşleri Müdürlüğü","Orta"
"Mahallemizdeki temizlik ekiplerinin kontrolünü rica ediyoruz.","Temizlik","Sokak temizliği","Temizlik İşleri Müdürlüğü","Düşük"
"Parktaki salıncak kırılmış ve çocuklar için tehlikeli.","Park ve yeşil alan","Oyun alanı arızası","Park ve Bahçeler Müdürlüğü","Yüksek"
"Mahalle parkında oyun alanı çok bakımsız.","Park ve yeşil alan","Oyun alanı arızası","Park ve Bahçeler Müdürlüğü","Orta"
"Park içindeki ağaç dalları yürüyüş yoluna sarkıyor.","Park ve yeşil alan","Ağaç bakımı","Park ve Bahçeler Müdürlüğü","Orta"
"Yeşil alandaki çimler uzun süredir biçilmedi.","Park ve yeşil alan","Yeşil alan bakımı","Park ve Bahçeler Müdürlüğü","Düşük"
"Çocuk parkındaki zemin yıpranmış durumda.","Park ve yeşil alan","Park bakım ihtiyacı","Park ve Bahçeler Müdürlüğü","Orta"
"Salıncak zinciri kopmuş gibi görünüyor.","Park ve yeşil alan","Oyun alanı arızası","Park ve Bahçeler Müdürlüğü","Yüksek"
"Parktaki banklar kırık ve kullanılamıyor.","Park ve yeşil alan","Park bakım ihtiyacı","Park ve Bahçeler Müdürlüğü","Orta"
"Mahalledeki ağaçlardan biri kurumuş.","Park ve yeşil alan","Ağaç bakımı","Park ve Bahçeler Müdürlüğü","Düşük"
"Oyun alanı çevresindeki çitler hasarlı.","Park ve yeşil alan","Oyun alanı arızası","Park ve Bahçeler Müdürlüğü","Orta"
"Park girişindeki yeşil alan sulanmıyor.","Park ve yeşil alan","Yeşil alan bakımı","Park ve Bahçeler Müdürlüğü","Düşük"
"Çocuk parkında kum alanı kirlenmiş.","Park ve yeşil alan","Park bakım ihtiyacı","Park ve Bahçeler Müdürlüğü","Orta"
"Ağaç budaması yapılmadığı için görüş kapanıyor.","Park ve yeşil alan","Ağaç bakımı","Park ve Bahçeler Müdürlüğü","Orta"
"Park yolundaki çimler tamamen kurumuş.","Park ve yeşil alan","Yeşil alan bakımı","Park ve Bahçeler Müdürlüğü","Düşük"
"Spor alanındaki demirler paslanmış.","Park ve yeşil alan","Park bakım ihtiyacı","Park ve Bahçeler Müdürlüğü","Orta"
"Oyun alanında çocuklar için güvenli olmayan kırık parça var.","Park ve yeşil alan","Oyun alanı arızası","Park ve Bahçeler Müdürlüğü","Yüksek"
"Otobüs durağında seferler sürekli aksıyor.","Ulaşım","Sefer aksaması","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Durak tabelası kırılmış ve hat bilgileri okunmuyor.","Ulaşım","Durak sorunu","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Mahalle otobüsü sabah saatlerinde çok geç geliyor.","Ulaşım","Toplu taşıma seferi","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Ana caddede trafik ışıkları nedeniyle uzun kuyruk oluşuyor.","Ulaşım","Trafik düzeni","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Minibüs güzergahında durak yeri belirsiz.","Ulaşım","Toplu taşıma düzeni","Ulaşım Hizmetleri Müdürlüğü","Düşük"
"Yeni durak için gölgelik talep ediyoruz.","Ulaşım","Durak sorunu","Ulaşım Hizmetleri Müdürlüğü","Düşük"
"Otobüs sefer sayısı akşam saatlerinde yetersiz.","Ulaşım","Sefer aksaması","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Trafik yoğunluğu okul çıkışında artıyor.","Ulaşım","Trafik düzeni","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Yolcu yoğunluğu nedeniyle ek otobüs gerekiyor.","Ulaşım","Toplu taşıma hizmeti","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Durakta aydınlatma ve oturma alanı yok.","Ulaşım","Durak sorunu","Ulaşım Hizmetleri Müdürlüğü","Düşük"
"Minibüsler durak dışında yolcu indiriyor.","Ulaşım","Toplu taşıma düzeni","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Otobüs hattının güzergahı mahalleye uzak kalıyor.","Ulaşım","Toplu taşıma seferi","Ulaşım Hizmetleri Müdürlüğü","Düşük"
"Cadde üzerindeki trafik akışı çok düzensiz.","Ulaşım","Trafik düzeni","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Durak camı kırıldığı için yağmurda beklemek zor oluyor.","Ulaşım","Durak sorunu","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Sefer saatleri uygulamada görünen saatlerle uyuşmuyor.","Ulaşım","Sefer aksaması","Ulaşım Hizmetleri Müdürlüğü","Orta"
"Gece geç saatlerde çok yüksek müzik sesi geliyor.","Gürültü","Müzik gürültüsü","Zabıta Müdürlüğü","Orta"
"Yan binadaki inşaat sesi sabah çok erken başlıyor.","Gürültü","İnşaat gürültüsü","Zabıta Müdürlüğü","Orta"
"Sokakta araçlardan gelen yüksek ses rahatsız ediyor.","Gürültü","Yüksek ses şikayeti","Zabıta Müdürlüğü","Orta"
"Kafe önünde gece boyunca gürültü oluyor.","Gürültü","Gece gürültüsü","Zabıta Müdürlüğü","Orta"
"Düğün salonundan gelen müzik tüm mahalleyi rahatsız ediyor.","Gürültü","Müzik gürültüsü","Zabıta Müdürlüğü","Orta"
"İş makinesi sesi akşam saatlerinde devam ediyor.","Gürültü","İnşaat gürültüsü","Zabıta Müdürlüğü","Orta"
"Parkta gece toplanan kişiler yüksek ses yapıyor.","Gürültü","Gece gürültüsü","Zabıta Müdürlüğü","Orta"
"Sitede sürekli gürültü yapan işletme var.","Gürültü","Gürültü şikayeti","Zabıta Müdürlüğü","Orta"
"Mahallede hoparlörle yüksek sesli anons yapılıyor.","Gürültü","Yüksek ses şikayeti","Zabıta Müdürlüğü","Düşük"
"Gece motosiklet gürültüsü çok artıyor.","Gürültü","Gece gürültüsü","Zabıta Müdürlüğü","Orta"
"İnşaat sesi pazar günü de devam etti.","Gürültü","İnşaat gürültüsü","Zabıta Müdürlüğü","Orta"
"Komşu işletmeden sürekli müzik sesi geliyor.","Gürültü","Müzik gürültüsü","Zabıta Müdürlüğü","Orta"
"Yüksek ses nedeniyle bebekler uyuyamıyor.","Gürültü","Yüksek ses şikayeti","Zabıta Müdürlüğü","Orta"
"Sokakta gece yarısı bağırış ve rahatsızlık var.","Gürültü","Gece gürültüsü","Zabıta Müdürlüğü","Orta"
"Pazar kurulumu sırasında sabah çok erken gürültü yapılıyor.","Gürültü","Gürültü şikayeti","Zabıta Müdürlüğü","Düşük"
"Boş binada güvenlik riski oluşturan kişiler toplanıyor.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Yüksek"
"Park çevresinde gece kavga yaşanıyor.","Güvenlik","Asayiş bildirimi","Zabıta Müdürlüğü","Yüksek"
"Alt geçit güvensiz ve karanlık olduğu için risk var.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Yüksek"
"Sokakta tehlike yaratan açık inşaat alanı bulunuyor.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Yüksek"
"Okul çevresinde madde kullanımı şüphesi var.","Güvenlik","Asayiş bildirimi","Zabıta Müdürlüğü","Yüksek"
"Yaya geçidinde güvenlik önlemi yetersiz.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Orta"
"Terk edilmiş araç mahallede risk oluşturuyor.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Orta"
"Sokakta sık sık kavga çıktığı bildiriliyor.","Güvenlik","Asayiş bildirimi","Zabıta Müdürlüğü","Yüksek"
"Karanlık sokakta yürümek güvensiz hissettiriyor.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Yüksek"
"Boş arsada çocuklar için tehlikeli demirler var.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Yüksek"
"Pazar yerinde güvenlik kontrolü talep ediyoruz.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Düşük"
"Apartman yanında açık bırakılan çukur tehlike yaratıyor.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Yüksek"
"Sahilde gece riskli kalabalıklar oluşuyor.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Orta"
"Mahalle girişindeki bariyer kırık ve güvenlik açığı var.","Güvenlik","Güvenlik riski","Zabıta Müdürlüğü","Orta"
"Otopark çevresinde kavga ve yüksek ses oluyor.","Güvenlik","Asayiş bildirimi","Zabıta Müdürlüğü","Yüksek"
"Sokakta su borusu patlak ve yol ıslanıyor.","Su ve altyapı","Su borusu arızası","Altyapı Koordinasyon Birimi","Yüksek"
"Kanalizasyon kokusu apartman önünden geliyor.","Su ve altyapı","Kanalizasyon arızası","Altyapı Koordinasyon Birimi","Orta"
"Rögar kapağından taşma oluyor.","Su ve altyapı","Rögar sorunu","Altyapı Koordinasyon Birimi","Yüksek"
"Yağmurda sokak altyapı yetersizliği nedeniyle su doluyor.","Su ve altyapı","Altyapı arızası","Altyapı Koordinasyon Birimi","Yüksek"
"Lağım suyu kaldırıma taşıyor.","Su ve altyapı","Kanalizasyon arızası","Altyapı Koordinasyon Birimi","Yüksek"
"Mahalle çeşmesinden sürekli su akıyor.","Su ve altyapı","Su arızası","Altyapı Koordinasyon Birimi","Orta"
"Rögar kapağı yerinden çıkmış durumda.","Su ve altyapı","Rögar sorunu","Altyapı Koordinasyon Birimi","Yüksek"
"Sokak başında altyapı çalışması yarım bırakıldı.","Su ve altyapı","Altyapı arızası","Altyapı Koordinasyon Birimi","Orta"
"Kanalizasyon hattından kötü koku geliyor.","Su ve altyapı","Kanalizasyon arızası","Altyapı Koordinasyon Birimi","Orta"
"Su kesintisi sonrası borudan sızıntı başladı.","Su ve altyapı","Su arızası","Altyapı Koordinasyon Birimi","Orta"
"Yağmur suyu mazgalı tıkalı olduğu için birikme var.","Su ve altyapı","Altyapı arızası","Altyapı Koordinasyon Birimi","Orta"
"Rögar çevresinde çökme oluştu.","Su ve altyapı","Rögar sorunu","Altyapı Koordinasyon Birimi","Yüksek"
"Binamızın önünde lağım kokusu çok yoğun.","Su ve altyapı","Kanalizasyon arızası","Altyapı Koordinasyon Birimi","Orta"
"Sokakta patlak su hattı nedeniyle araçlar zor geçiyor.","Su ve altyapı","Su borusu arızası","Altyapı Koordinasyon Birimi","Yüksek"
"Altyapı kapağı gevşek ve ses yapıyor.","Su ve altyapı","Altyapı arızası","Altyapı Koordinasyon Birimi","Orta"
"Yaralı hayvan için veteriner desteği gerekiyor.","Hayvanlar","Yaralı hayvan","Veteriner İşleri Müdürlüğü","Yüksek"
"Sokakta hasta görünen bir kedi var.","Hayvanlar","Sokak hayvanı bildirimi","Veteriner İşleri Müdürlüğü","Yüksek"
"Mahallede saldırgan davranan köpekler için destek istiyoruz.","Hayvanlar","Sokak hayvanı bildirimi","Veteriner İşleri Müdürlüğü","Yüksek"
"Sokak hayvanı besleme noktası yetersiz kalıyor.","Hayvanlar","Besleme noktası","Veteriner İşleri Müdürlüğü","Düşük"
"Parkta yaralı hayvan görüldü.","Hayvanlar","Yaralı hayvan","Veteriner İşleri Müdürlüğü","Yüksek"
"Kedi kolonisi için mama noktası talep ediyoruz.","Hayvanlar","Besleme noktası","Veteriner İşleri Müdürlüğü","Düşük"
"Sahipsiz köpeklerin aşı kontrolü yapılmalı.","Hayvanlar","Sokak hayvanı bildirimi","Veteriner İşleri Müdürlüğü","Orta"
"Veteriner ekiplerinin hasta köpek için gelmesini rica ediyoruz.","Hayvanlar","Veteriner desteği","Veteriner İşleri Müdürlüğü","Yüksek"
"Apartman boşluğunda mahsur kalan kedi var.","Hayvanlar","Sokak hayvanı bildirimi","Veteriner İşleri Müdürlüğü","Yüksek"
"Sokak hayvanları için su kabı desteği istiyoruz.","Hayvanlar","Besleme noktası","Veteriner İşleri Müdürlüğü","Düşük"
"Yolda yaralı köpek yatıyor.","Hayvanlar","Yaralı hayvan","Veteriner İşleri Müdürlüğü","Yüksek"
"Çocuk parkında çok sayıda başıboş köpek dolaşıyor.","Hayvanlar","Sokak hayvanı bildirimi","Veteriner İşleri Müdürlüğü","Orta"
"Mahalledeki kediler için kısırlaştırma talep ediyoruz.","Hayvanlar","Veteriner desteği","Veteriner İşleri Müdürlüğü","Düşük"
"Yavru kediler yağmurda kalmış durumda.","Hayvanlar","Sokak hayvanı bildirimi","Veteriner İşleri Müdürlüğü","Orta"
"Sokakta yaralı kuş bulundu.","Hayvanlar","Yaralı hayvan","Veteriner İşleri Müdürlüğü","Yüksek"
"Dere kenarında çevre kirliliği oluşmuş.","Çevre kirliliği","Dere kirliliği","Çevre Koruma Müdürlüğü","Orta"
"Boş arsaya moloz dökülmüş.","Çevre kirliliği","Moloz/kaçak döküm","Çevre Koruma Müdürlüğü","Orta"
"Sanayi bölgesinden kötü hava kokusu geliyor.","Çevre kirliliği","Hava kirliliği","Çevre Koruma Müdürlüğü","Orta"
"Kimyasal atık olduğunu düşündüğümüz sıvı yola akmış.","Çevre kirliliği","Tehlikeli atık","Çevre Koruma Müdürlüğü","Yüksek"
"Sahil kenarında plastik atıklar birikmiş.","Çevre kirliliği","Çevre kirliliği","Çevre Koruma Müdürlüğü","Orta"
"Dere suyunda renk değişimi ve kirlilik var.","Çevre kirliliği","Dere kirliliği","Çevre Koruma Müdürlüğü","Yüksek"
"Boş alana kaçak moloz dökümü yapıldı.","Çevre kirliliği","Moloz/kaçak döküm","Çevre Koruma Müdürlüğü","Orta"
"Mahallede hava kirliliği oluşturan yoğun duman var.","Çevre kirliliği","Hava kirliliği","Çevre Koruma Müdürlüğü","Orta"
"Çevreye yayılan kimyasal koku rahatsız ediyor.","Çevre kirliliği","Tehlikeli atık","Çevre Koruma Müdürlüğü","Yüksek"
"Yol kenarına inşaat atığı bırakılmış.","Çevre kirliliği","Moloz/kaçak döküm","Çevre Koruma Müdürlüğü","Orta"
"Park arkasındaki alanda kirlilik arttı.","Çevre kirliliği","Çevre kirliliği","Çevre Koruma Müdürlüğü","Düşük"
"Dere kenarındaki atıklar toplanmalı.","Çevre kirliliği","Dere kirliliği","Çevre Koruma Müdürlüğü","Orta"
"Fabrikadan çıkan duman hava kalitesini etkiliyor.","Çevre kirliliği","Hava kirliliği","Çevre Koruma Müdürlüğü","Orta"
"Kimyasal bidonlar yol kenarına bırakılmış.","Çevre kirliliği","Tehlikeli atık","Çevre Koruma Müdürlüğü","Yüksek"
"Mahalle girişinde çevre kirliliği yaratan kaçak döküm var.","Çevre kirliliği","Moloz/kaçak döküm","Çevre Koruma Müdürlüğü","Orta"
